ne…ni…ni,既不…也不,,,,
No?l,圣诞节,,,,
"nombreux,-se",许多的,,,,
non,不,,,,
notre,我们的,,,,
"nouveau,elle",新的,,,,
nouvelle,消息，音讯,,,,
novembre,十一月,,,,
objet,物件,,,,
obligatoire,强制性的,,,,
un cours obligatoire,必修课,,,,
Occident,西方,,,,
occupé,忙的,,,,
occuper(s')de,照管,,,,
octobre,十月,,,,
oignon,葱头，洋葱,,,,
on,人们,,,,
onze,十一,,,,
option,选择，挑选,,,,
un cours àoption,选修课,,,,
ou,或者,,,,
où,哪里,,,,
ouest,西,,,,
oui,是的,,,,
"ouvrier,-ère",工人,,,,
ouvrir,打开,,,,
pain,面包,,,,
un petit pain,馒对,,,,
palais,宫殿,,,,
paquet,包，包裹,,,,
par ,从…经过,,,,
parc,公园,,,,
parce que,因为,,,,
pardon,对不起,,,,
parents,父母；亲威,,,,
"paresseux,-se",懒惰的,,,,
Paris,巴黎,,,,
parler,说话,,,,
participer(à),参加,,,,
partir,出发,,,,
pas,不,,,,
pas du tout,一点也不,,,,
passer,经过,,,,
se passer ,发生,,,,
passionnant,动人的,,,,
patiner,滑冰,,,,
pavillon,楼房/亭、阁、小屋,,,,
peinture,画，图画,,,,
pendant,在…期间,,,,
père,父亲,,,,
le père No?l,圣诞老人,,,,
personne,人们,,,,
pétard,鞭炮,,,,
petit,小的,,,,
peu,少量,,,,
un peu,一点 ,,,,
un peu de,一点，一些,,,,
peureux,胆小的,,,,
peut-être,可能,,,,
philosophie,哲学,,,,
photo,照片,,,,
pièce,房间,,,,
pied,脚,,,,
à pied,步行,,,,
au pied de ,在…脚下,,,,
placard,壁橱,,,,
placer,安放,,,,
plage,海滩，海滨,,,,
plaire(à),使喜欢,,,,
s'il vous pla?t,请,,,,
plaisir,愉快,,,,
avec plaisir,很乐意,,,,
plat,一道菜，一盘菜,,,,
pleurer,哭,,,,
pleuvoir,下雨,,,,
pluie,雨,,,,
plus,更,,,,
 en plus de ,除…以外,,,,
plusieurs,好几个,,,,
plut?t,更确切地说，有点颇为,,,,
poche,口袋,,,,
poisson,鱼,,,,
pomme,苹果,,,,
pomme de terre,土豆,,,,
porc,猪；猪肉,,,,
porte,门,,,,
porter,穿戴着，拿着,,,,
poser,提出（问题）,,,,
possibilité,可能性,,,,
possible,可能的,,,,
poste,邮局，邮政,,,,
poste,站,,,,
poulet,鸡；鸡肉,,,,
pour,为了,,,,
pourquoi,为什么,,,,
pouvoir,能够,,,,
précédent,前一个的,,,,
précipiter(se)(vers),扑向；冲向,,,,
préférer,宁愿，更喜欢,,,,
"premier,-ère",第一,,,,
prendre,拿；乘（车），取（道）,,,,
prendre une rue,,,,,
prendre l'autobus,,,,,
préparer,准备,,,,
près,附近,,,,
près de,附近,,,,
présent,出席的,,,,
presque,几乎，差不多,,,,
presser(se),赶紧,,,,
prêt,做好准备的,,,,
prévoir,预见，预定,,,,
prieer,请求,,,,
printemps,春季,,,,
prochain,下一个的,,,,
professeur,教授，教师,,,,
programme,日程,,,,
progrès,进步,,,,
faire des progrès,,,,,
promenade,散步,,,,
promener(se),散步,,,,
promettre,答应,,,,
proposer,建议,,,,
puis,然后,,,,
qualifié,合格的,,,,
quand,何时？在…时候,,,,
quarante,四十,,,,
quart,四分之一；一刻钟,,,,
un quart d'heure,一刻钟,,,,
quatorze,十四,,,,
